err;fourier;sep;slepians 4
10;0.9230;0.7448;0.6073
30;0.8319;0.4219;0.2679
50;0.7647;0.2270;0.1463
70;0.7067;0.1368;0.0971
90;0.6557;0.1161;0.0979
110;0.6069;0.1120;0.1045
130;0.5626;0.1124;0.1093
150;0.5226;0.1135;0.1129
170;0.4870;0.1159;0.1161
190;0.4541;0.1182;0.1184
210;0.4221;0.1195;0.1202
230;0.3917;0.1206;0.1217
250;0.3625;0.1217;0.1226
270;0.3352;0.1224;0.1231
290;0.3085;0.1229;0.1233
310;0.2832;0.1235;0.1237
330;0.2611;0.1237;0.1239
350;0.2405;0.1240;0.1239
370;0.2211;0.1242;0.1240
390;0.2029;0.1242;0.1241
410;0.1873;0.1241;0.1241
430;0.1743;0.1241;0.1241
450;0.1616;0.1241;0.1241
470;0.1518;0.1240;0.1241
490;0.1436;0.1241;0.1240
