err;fourier;joint;lift;lift_mixed;fourier_line;line;sep;slepians 2;slepians 4;slepians None
0.0000;625;482;431;431;584;570;432;592;239;147
0.0000;620;419;374;374;571;524;376;563;203;131
0.0000;611;350;310;310;554;461;308;530;165;118
0.0001;595;275;241;241;530;373;241;486;133;102
0.0005;571;204;178;178;490;294;178;403;104;87
0.0022;531;136;122;122;432;208;122;333;81;71
0.0100;465;86;79;79;355;119;79;166;59;53
0.0464;341;52;47;47;244;78;47;70;35;34
0.2154;176;27;21;21;100;34;21;21;16;15
1.0000;1;1;1;1;1;1;1;1;1;1
